label,kind,status,occurrences,first_source_url
AIR QUALITY ADVISORY,inline-colon,UNMAPPED,14,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/e97c9c8d-1328-49cf-955d-a6376f6cf434
Virtual Town Hall -,inline-strong,UNMAPPED,14,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/bbea4421-bbb1-4ffa-b22d-183dd498306c
Los Angeles Police Department to hold a press conference at 3,inline-colon,UNMAPPED,12,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/e95f0e9a-946c-4b9b-9f98-5c1686025f74
"press conference at 3:30 pm, January 7th, 2025.",inline-strong,UNMAPPED,12,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/e95f0e9a-946c-4b9b-9f98-5c1686025f74
Inclement weather conditions may cause access to be suspended.,inline-strong,UNMAPPED,11,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Los Angeles County Zones,inline-strong,UNMAPPED,11,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Los Angeles County Zones,inline-colon,UNMAPPED,11,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
Shelter In Place,heading-h4,mapped,11,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/a8469dc0-4975-41d9-acba-b62f35f4dbdf
The Palisades Fire Media Line is,inline-colon,UNMAPPED,10,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fb42ddab-8486-4dc5-be48-c6f1144a1647
The Palisades Fire Public Information Line is,inline-colon,UNMAPPED,10,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fb42ddab-8486-4dc5-be48-c6f1144a1647
Virtual Town Hall,inline-colon,UNMAPPED,9,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/d426f279-239d-4151-967c-0342fa13912e
"Virtual Town Hall, January 9th, 2025",inline-strong,UNMAPPED,9,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/0a5c3dac-a9d8-46ce-b1f8-00dd8f344242
"Virtual Town Hall, January 9th, 2025 6",inline-colon,UNMAPPED,9,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/0a5c3dac-a9d8-46ce-b1f8-00dd8f344242
County of Los Angeles,inline-colon,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/0df76d0f-10a4-4169-8c75-23ec116020fd
Disaster Recovery Centers are open to the public from 9,inline-colon,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Disaster Recovery Centers are open to the public from 9:00 AM to 8:00 PM.,inline-strong,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
Ritchie Valens Recreation Center (closing at 2PM 1.21.25),inline-strong,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/6cb6ffe9-3b14-47fd-849a-b3debb163afd
Some evacuations remain in place to residents only,inline-strong,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
here .,inline-strong,UNMAPPED,7,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fc673f28-0d66-402b-9ebe-2380a9bf3c26
"For tonight, the RED FLAG WARNING will conclude at 6",inline-colon,UNMAPPED,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/a7ceb7a9-d5a9-4fef-84bb-4f1e6332e22d
LOS-0767-A,inline-strong,UNMAPPED,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/557f19fc-3da1-43ba-97ff-23859112a0fa
LOS-0767-A,inline-colon,UNMAPPED,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/557f19fc-3da1-43ba-97ff-23859112a0fa
Law Enforcement will only conduct resident escorts between 10,inline-colon,UNMAPPED,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/67dda116-e67c-46a6-948a-a31f7f131b85
