row,report_date,report_time,column,pdf
5,02/04/2025,10:01 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
5,02/04/2025,10:01 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_04_2025 at 10_01 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
6,02/04/2025,10:05 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_04_2025 at 10_05 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
7,02/04/2025,11:06 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_04_2025 at 11_06 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
8,02/05/2025,8:00 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_05_2025 at 8_00 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Additional_Resources,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Public_Health_Information,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
9,02/05/2025,8:31 AM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_05_2025 at 8_31 AM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Additional_Resources,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Public_Health_Information,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
10,02/07/2025,12:57 PM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_07_2025 at 12_57 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Additional_Resources,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Missing_Persons_Hotline,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Public_Health_Information,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Disaster_Assessment,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Damage_Assessment_Text,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Evacuation_Order_Open_To_Residents,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Evacuation_Orders_Details,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Evacuation_Shelters,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Road_Closure_Sources,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Animal_Evacuation_Missing_Pets_Line,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Small_Animal_Shelters,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Large_Animal_Shelters,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
11,02/10/2025,3:46 PM,Assigned_Resources_Text,Palisades Fire_ Incident Update on 02_10_2025 at 3_46 PM _ CAL FIRE.pdf
